municipality_id,town_name,platform_vendor,homepage_url,batch_id,seed_url_attempted,final_url_fetched,http_status,diagnostic_class,blocked_reason,recovery_mode_attempted,recovery_result,notes
ct_farmington,Farmington,Granicus,https://www.farmington-ct.org/,batch_granicus_vendor_probe,https://www.farmington-ct.org/,https://www.farmington-ct.org/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_farmington,Farmington,Granicus,https://www.farmington-ct.org/,batch_non_civicplus_baseline,https://www.farmington-ct.org/,https://www.farmington-ct.org/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_glastonbury,Glastonbury,Granicus,https://www.glastonburyct.gov/,batch_granicus_vendor_probe,https://www.glastonburyct.gov/,https://www.glastonburyct.gov/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_glastonbury,Glastonbury,Granicus,https://www.glastonburyct.gov/,batch_non_civicplus_baseline,https://www.glastonburyct.gov/,https://www.glastonburyct.gov/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_hartford,Hartford,Granicus,https://www.hartfordct.gov/Home,batch_granicus_vendor_probe,https://www.hartfordct.gov/Home,https://www.hartfordct.gov/Home,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_hartford,Hartford,Granicus,https://www.hartfordct.gov/Home,batch_non_civicplus_baseline,https://www.hartfordct.gov/Home,https://www.hartfordct.gov/Home,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_manchester,Manchester,Granicus,https://www.manchesterct.gov/Home,batch_granicus_vendor_probe,https://www.manchesterct.gov/Home,https://www.manchesterct.gov/Home,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_manchester,Manchester,Granicus,https://www.manchesterct.gov/Home,batch_non_civicplus_baseline,https://www.manchesterct.gov/Home,https://www.manchesterct.gov/Home,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_new_fairfield,New Fairfield,Granicus,https://www.newfairfield.org/,batch_granicus_vendor_probe,https://www.newfairfield.org/,https://www.newfairfield.org/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_new_fairfield,New Fairfield,Granicus,https://www.newfairfield.org/,batch_non_civicplus_baseline,https://www.newfairfield.org/,https://www.newfairfield.org/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_new_haven,New Haven,Granicus,https://www.newhavenct.gov/,batch_granicus_vendor_probe,https://www.newhavenct.gov/,https://www.newhavenct.gov/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_new_haven,New Haven,Granicus,https://www.newhavenct.gov/,batch_non_civicplus_baseline,https://www.newhavenct.gov/,https://www.newhavenct.gov/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_stamford,Stamford,Granicus,https://www.stamfordct.gov/,batch_granicus_vendor_probe,https://www.stamfordct.gov/,https://www.stamfordct.gov/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_stamford,Stamford,Granicus,https://www.stamfordct.gov/,batch_non_civicplus_baseline,https://www.stamfordct.gov/,https://www.stamfordct.gov/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_weston,Weston,Granicus,https://www.westonct.gov/,batch_granicus_vendor_probe,https://www.westonct.gov/,https://www.westonct.gov/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_weston,Weston,Granicus,https://www.westonct.gov/,batch_non_civicplus_baseline,https://www.westonct.gov/,https://www.westonct.gov/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_westport,Westport,Granicus,https://www.westportct.gov/,batch_granicus_vendor_probe,https://www.westportct.gov/,https://www.westportct.gov/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
ct_westport,Westport,Granicus,https://www.westportct.gov/,batch_non_civicplus_baseline,https://www.westportct.gov/,https://www.westportct.gov/,403,blocked_or_forbidden,http_forbidden,false,,recovery_not_attempted
